bimo0001113618,Lecciones de filosofía elemental,,,
bimo0001113629,Rudimentos de Derecho,,,
bimo0001114217,La Casta : comedia en tres actos,,,
bimo0001114226,Doña Mesalina : novela,,,
bimo0001114230,Embrujamiento : drama trágico en tres actos,,,
bimo0001114231,"En la pendiente, los que suben y los que ruedan",,,
bimo0001114237,Hacia la dicha : comedia en tres actos,,,
bimo0001114243,"Los malcasados : comedia en tres actos, obra póstuma",,,
bimo0001114257,"Los senderos del mal : comedia en tres actos, estrenada en el Teatro de Lara el 30 de marzo de 1918",,,
bimo0001565230,Adelfa,,,
bimo0001570597,El alma del abuelo,,,
bimo0001570885,Torres de Meirás vida de trabajo de la Condesa de Pardo Bazán y El Caudillo,,,
bimo0001573623,"Catálogo de los manuscritos existentes en la Biblioteca del Noviciado de la Universidad Central (procedentes de la antigua de Alcalá). Parte I, Códices",,,
bimo0001573630,Estudio histórico acerca del señorío temporal de los obispos de Lugo en sus relaciones con el municipio (en la Edad Media...),,,
bimo0001573634,"Origen de los foros en Galicia causas de su decadencia actual, ventajas e incovenientes de su conservación para la agricultura e industrias que de ésta se derivan",,,
bimo0001573768,El alcázar de las perlas : leyenda trágica en cuatro actos y en verso,,,
bimo0001573781,Bajo la lluvia : (poesías),,,
bimo0001573801,Doña María de Padilla : drama histórico en tres actos y en verso,,,
bimo0001573820,Judith tragedia bíblica en tres actos y en verso,,,
bimo0001573853,Saudades : poesías,,,
bimo0001575419,Querer y no querer cuento dialogado de Manuel Linares Rivas,,,
bimo0001575519,Finafrol novela de la condesa de Pardo Bazán,,,
bimo0001575587,Enrique y el alma de Enrique : novela de Manuel Linares Rivas,,,
bimo0001575633,Mi prima me odia novela de Felipe Trigo,,,
bimo0001575720,El primer actor : novela de José Francos Rodríguez,,,
bimo0001575774,Amores de Antón Hernando : novela de Gabriel Miró,,,
bimo0001575822,Mi media naranja novela de Felipe Trigo,,,
bimo0001575829,Al borde de la vida novela de Emiliano Ramirez-Ángel,,,
bimo0001576100,El paje de la condesa cuento de damas por Sinesio Delgado,,,
bimo0001587667,La maestra sole novela madrileña,,,
